Median Home Value,Median Household Income,Zip Code
85000,46500,92364
156400,39504,92365
,,92366
83900,27885,92368
133900,48451,92371
144500,35896,92372
361700,65649,92373
238900,64896,92374
162300,44550,92376
237000,79611,92377
144000,58667,92392
139200,53993,92394
139000,38084,92395
247800,65469,92397
224000,58420,92399
28800,14946,92401
,,92403
154400,37175,92404
129200,37936,92405
192300,51471,92407
169200,36504,92408
81300,27324,92410
116200,31288,92411
186800,48234,92501
222500,56373,92503
220100,56108,92504
225900,57063,92505
317000,78236,92506
232800,39465,92507
319100,100243,92508
208500,56517,92509
228100,62652,92518
181100,49942,92530
234400,81807,92532
173000,52194,92536
174200,38564,92539
76500,26909,92543
141700,43726,92544
144200,38770,92545
99500,39709,92548
265200,58924,92549
162600,52505,92551
153300,42825,92553
228300,73994,92555
196900,62592,92557
334500,82344,92561
290900,75053,92562
269700,78880,92563
208100,56132,92567
163600,41365,92570
158900,50598,92571
160300,58051,92582
117700,39588,92583
247200,75147,92584
195900,61782,92585
139100,35935,92586
255100,67321,92587
724800,42516,92590
292000,68275,92591
322300,88355,92592
224100,62507,92595
262300,82832,92596
710800,103309,92602
965800,111307,92603
582100,89071,92604
632600,86500,92606
580800,124471,92610
568100,68953,92612
596600,92989,92614
419400,38843,92617
516400,92862,92618
697000,103385,92620
678800,68066,92624
1000001,116270,92625
601000,77127,92626
548500,58167,92627
716200,85530,92629
476200,84871,92630
198300,36675,92637
592100,84144,92646
593500,75599,92647
752500,82564,92648
640000,86043,92649
1000001,95865,92651
570200,91878,92653
364300,45577,92655
463400,97931,92656
1000001,156440,92657
1000001,111109,92660
1000001,90357,92661
1000001,78750,92662
1000001,83550,92663
704100,75681,92672
720000,120219,92673
522000,75551,92675
460000,97717,92676
662200,99101,92677
730800,142803,92679
448400,52409,92683
474800,98821,92688
523100,92710,92691
565900,99314,92692
604700,127906,92694
300200,41331,92701
290800,50824,92703
332600,58463,92704
714000,82411,92705
432700,60785,92706
315000,57384,92707
604100,80619,92708
456900,64680,92780
621200,99778,92782
,,92799
335400,47715,92801
367000,49099,92802
362600,53293,92804
349300,53532,92805
416100,59315,92806
551300,98027,92807
603900,105144,92808
,,92809
510000,78077,92821
645000,113478,92823
465900,61216,92831
391400,59754,92832
444100,65330,92833
646200,97723,92835
368200,61834,92840
387700,54277,92841
367300,51991,92843
358600,49936,92844
472100,89693,92845
385100,84905,92860
942500,155275,92861
,,92862
441200,85057,92865
540000,58002,92866
569300,79650,92867
358100,69780,92868
556700,91755,92869
493000,78730,92870
263100,62529,92879
376500,100452,92880
365500,94389,92881
328000,71402,92882
332600,93511,92883
663000,108008,92886
689200,125265,92887
,,92899
414100,52407,93001
433300,67860,93003
412900,73473,93004
474600,85479,93010
480600,94368,93012
608800,69766,93013
312400,57971,93015
526800,97079,93021
406000,75756,93022
514900,62133,93023
342600,55271,93030
265700,53400,93033
389400,80538,93035
357200,65432,93036
303700,52814,93041
329100,55038,93060
423400,84216,93063
442800,91686,93065
882400,85363,93066
,,93093
693300,55042,93101
847400,67053,93103
871300,81035,93105
1000001,119539,93108
911700,88750,93109
734200,76215,93110
754000,95560,93111
634000,56669,93117
120300,40484,93202
99400,33147,93203
121300,28794,93204
133300,21552,93205
152100,43355,93206
160000,34500,93207
148300,47088,93210
124700,33756,93212
141000,35195,93215
113700,25000,93219
193800,44463,93221
105100,32197,93223
95800,60114,93224
218400,55313,93225
325000,44107,93226
182500,52611,93230
120400,23238,93234
105300,29688,93235
240500,58480,93238
103000,41912,93239
115500,22706,93240
88300,32490,93241
171500,41325,93242
174300,64611,93243
208000,34500,93244
198300,51850,93245
154000,35799,93247
106700,32768,93249
116100,35616,93250
117500,38750,93251
73200,31550,93252
101000,37679,93254
84100,31250,93255
121500,27305,93256
148400,40851,93257
216100,25089,93260
,,93262
131300,41448,93263
284000,47058,93265
109800,28700,93266
